strategy,cycle,green_road,green_duration_seconds,total_wait_this_cycle_seconds,A_before,B_before,C_before,A_wait_seconds,B_wait_seconds,C_wait_seconds,A_total_wait_seconds,B_total_wait_seconds,C_total_wait_seconds
adaptive,1,A,40,91,36,3,6,0,40,51,0,40,51
adaptive,2,B,21,63,20,8,8,42,0,21,42,40,72
adaptive,3,C,23,86,30,3,9,23,63,0,65,103,72
adaptive,4,A,40,97,42,6,1,0,40,57,65,143,129
adaptive,5,B,27,67,20,11,4,40,0,27,105,143,156
adaptive,6,C,17,74,34,3,6,17,57,0,122,200,156
adaptive,7,A,40,95,42,5,1,0,40,55,122,240,211
adaptive,8,B,25,63,20,10,4,38,0,25,160,240,236
adaptive,9,C,17,74,32,3,6,17,57,0,177,297,236
adaptive,10,A,40,95,40,5,1,0,40,55,177,337,291
adaptive,TOTAL,,,805,,,,,,,177,337,291
flat_30s,1,A,30,90,36,3,6,0,30,60,0,30,60
flat_30s,2,B,30,90,15,7,8,60,0,30,60,30,90
flat_30s,3,C,30,90,30,4,10,30,60,0,90,90,90
flat_30s,4,A,30,90,45,8,2,0,30,60,90,120,150
flat_30s,5,B,30,90,15,12,4,60,0,30,150,120,180
flat_30s,6,C,30,90,30,4,6,30,60,0,180,180,180
flat_30s,7,A,30,90,45,8,2,0,30,60,180,210,240
flat_30s,8,B,30,90,15,12,4,60,0,30,240,210,270
flat_30s,9,C,30,90,30,4,6,30,60,0,270,270,270
flat_30s,10,A,30,90,45,8,2,0,30,60,270,300,330
flat_30s,TOTAL,,,900,,,,,,,270,300,330
