strategy,cycle,green_road,green_duration_seconds,total_wait_this_cycle_seconds,A_before,A_wait_seconds,A_total_wait_seconds,B_before,B_wait_seconds,B_total_wait_seconds,C_before,C_wait_seconds,C_total_wait_seconds
adaptive,1,A,40,91,36,0,0,3,40,40,6,51,51
adaptive,2,B,21,63,20,42,42,8,0,40,8,21,72
adaptive,3,C,23,86,30,23,65,3,63,103,9,0,72
adaptive,4,A,40,97,42,0,65,6,40,143,1,57,129
adaptive,5,B,27,67,20,40,105,11,0,143,4,27,156
adaptive,6,C,17,74,34,17,122,3,57,200,6,0,156
adaptive,7,A,40,95,42,0,122,5,40,240,1,55,211
adaptive,8,B,25,63,20,38,160,10,0,240,4,25,236
adaptive,9,C,17,74,32,17,177,3,57,297,6,0,236
adaptive,10,A,40,95,40,0,177,5,40,337,1,55,291
adaptive,TOTAL,,,805,,,177,,,337,,,291
flat_30s,1,A,30,90,36,0,0,3,30,30,6,60,60
flat_30s,2,B,30,90,15,60,60,7,0,30,8,30,90
flat_30s,3,C,30,90,30,30,90,4,60,90,10,0,90
flat_30s,4,A,30,90,45,0,90,8,30,120,2,60,150
flat_30s,5,B,30,90,15,60,150,12,0,120,4,30,180
flat_30s,6,C,30,90,30,30,180,4,60,180,6,0,180
flat_30s,7,A,30,90,45,0,180,8,30,210,2,60,240
flat_30s,8,B,30,90,15,60,240,12,0,210,4,30,270
flat_30s,9,C,30,90,30,30,270,4,60,270,6,0,270
flat_30s,10,A,30,90,45,0,270,8,30,300,2,60,330
flat_30s,TOTAL,,,900,,,270,,,300,,,330
