scenario,strategy,cycle,green_road,green_duration_seconds,total_wait_this_cycle_seconds,A_before,A_wait_seconds,A_total_wait_seconds,B_before,B_wait_seconds,B_total_wait_seconds,C_before,C_wait_seconds,C_total_wait_seconds
default,adaptive,1,A,15,41,36,0,0,3,15,15,6,26,26
default,adaptive,2,B,5,29,14,24,24,5,0,15,7,5,31
default,adaptive,3,C,5,47,16,5,29,1,42,57,7,0,31
default,adaptive,4,A,5,19,18,0,29,2,5,62,0,14,45
default,adaptive,5,B,5,35,10,5,34,3,0,62,0,30,75
default,adaptive,6,A,5,17,12,0,34,1,5,67,0,12,87
default,adaptive,7,A,5,19,4,0,34,2,5,72,0,14,101
default,adaptive,8,B,5,19,2,5,39,3,0,72,0,14,115
default,adaptive,9,A,5,17,4,0,39,1,5,77,0,12,127
default,adaptive,10,A,5,19,2,0,39,2,5,82,0,14,141
default,adaptive,TOTAL,,,262,,,39,,,82,,,141
default,flat_30s,1,A,30,90,36,0,0,3,30,30,6,60,60
default,flat_30s,2,B,30,90,15,60,60,7,0,30,8,30,90
default,flat_30s,3,C,30,90,30,30,90,4,60,90,10,0,90
default,flat_30s,4,A,30,90,45,0,90,8,30,120,2,60,150
default,flat_30s,5,B,30,90,15,60,150,12,0,120,4,30,180
default,flat_30s,6,C,30,90,30,30,180,4,60,180,6,0,180
default,flat_30s,7,A,30,90,45,0,180,8,30,210,2,60,240
default,flat_30s,8,B,30,90,15,60,240,12,0,210,4,30,270
default,flat_30s,9,C,30,90,30,30,270,4,60,270,6,0,270
default,flat_30s,10,A,30,90,45,0,270,8,30,300,2,60,330
default,flat_30s,TOTAL,,,900,,,270,,,300,,,330
heavy_c,adaptive,1,A,5,50,8,0,0,55,5,5,96,45,45
heavy_c,adaptive,2,B,5,50,0,45,45,58,0,5,98,5,50
heavy_c,adaptive,3,C,5,50,0,45,90,50,5,10,100,0,50
heavy_c,adaptive,4,B,5,50,0,45,135,52,0,10,92,5,55
heavy_c,adaptive,5,B,5,50,0,45,180,44,0,10,94,5,60
heavy_c,adaptive,6,C,5,50,0,45,225,36,5,15,96,0,60
heavy_c,adaptive,7,B,5,50,0,45,270,38,0,15,88,5,65
heavy_c,adaptive,8,B,5,50,0,45,315,30,0,15,90,5,70
heavy_c,adaptive,9,C,5,50,0,45,360,22,5,20,92,0,70
heavy_c,adaptive,10,B,5,50,0,45,405,24,0,20,84,5,75
heavy_c,adaptive,TOTAL,,,500,,,405,,,20,,,75
heavy_c,flat_30s,1,A,30,90,8,0,0,55,30,30,96,60,60
heavy_c,flat_30s,2,B,30,90,3,60,60,70,0,30,110,30,90
heavy_c,flat_30s,3,C,30,90,6,30,90,25,60,90,124,0,90
heavy_c,flat_30s,4,A,30,90,9,0,90,40,30,120,78,60,150
heavy_c,flat_30s,5,B,30,90,3,60,150,55,0,120,92,30,180
heavy_c,flat_30s,6,C,30,90,6,30,180,15,60,180,106,0,180
heavy_c,flat_30s,7,A,30,90,9,0,180,30,30,210,60,60,240
heavy_c,flat_30s,8,B,30,90,3,60,240,45,0,210,74,30,270
heavy_c,flat_30s,9,C,30,90,6,30,270,15,60,270,88,0,270
heavy_c,flat_30s,10,A,30,90,9,0,270,30,30,300,42,60,330
heavy_c,flat_30s,TOTAL,,,900,,,270,,,300,,,330
heavy_b,adaptive,1,A,5,50,8,0,0,55,5,5,1,45,45
heavy_b,adaptive,2,B,25,61,0,36,36,56,0,5,3,25,70
heavy_b,adaptive,3,C,5,19,2,5,41,11,14,19,14,0,70
heavy_b,adaptive,4,A,5,39,2,0,41,12,5,24,6,34,104
heavy_b,adaptive,5,B,5,31,0,26,67,13,0,24,8,5,109
heavy_b,adaptive,6,C,5,23,0,18,85,4,5,29,10,0,109
heavy_b,adaptive,7,B,5,19,0,14,99,5,0,29,2,5,114
heavy_b,adaptive,8,B,5,23,0,18,117,1,0,29,4,5,119
heavy_b,adaptive,9,C,5,17,0,12,129,1,5,34,6,0,119
heavy_b,adaptive,10,B,5,19,0,14,143,2,0,34,2,5,124
heavy_b,adaptive,TOTAL,,,301,,,143,,,34,,,124
heavy_b,flat_30s,1,A,30,90,8,0,0,55,30,30,1,60,60
heavy_b,flat_30s,2,B,30,90,3,60,60,61,0,30,15,30,90
heavy_b,flat_30s,3,C,30,90,6,30,90,7,60,90,29,0,90
heavy_b,flat_30s,4,A,30,90,9,0,90,13,30,120,14,60,150
heavy_b,flat_30s,5,B,30,90,3,60,150,19,0,120,28,30,180
heavy_b,flat_30s,6,C,30,90,6,30,180,6,60,180,42,0,180
heavy_b,flat_30s,7,A,30,90,9,0,180,12,30,210,14,60,240
heavy_b,flat_30s,8,B,30,90,3,60,240,18,0,210,28,30,270
heavy_b,flat_30s,9,C,30,90,6,30,270,6,60,270,42,0,270
heavy_b,flat_30s,10,A,30,90,9,0,270,12,30,300,14,60,330
heavy_b,flat_30s,TOTAL,,,900,,,270,,,300,,,330
flat,adaptive,1,A,20,80,41,0,0,43,20,20,46,60,60
flat,adaptive,2,B,20,80,7,60,60,48,0,20,53,20,80
flat,adaptive,3,C,30,91,13,30,90,13,61,81,60,0,80
flat,adaptive,4,A,10,60,22,0,90,21,10,91,10,50,130
flat,adaptive,5,B,10,51,5,41,131,24,0,91,13,10,140
flat,adaptive,6,C,5,31,8,5,136,7,26,117,16,0,140
flat,adaptive,7,A,5,31,10,0,136,8,5,122,8,26,166
flat,adaptive,8,B,5,35,2,30,166,9,0,122,10,5,171
flat,adaptive,9,C,5,23,4,5,171,1,18,140,12,0,171
flat,adaptive,10,A,5,19,6,0,171,2,5,145,4,14,185
flat,adaptive,TOTAL,,,501,,,171,,,145,,,185
flat,flat_30s,1,A,30,90,41,0,0,43,30,30,46,60,60
flat,flat_30s,2,B,30,90,9,60,60,51,0,30,56,30,90
flat,flat_30s,3,C,30,90,18,30,90,8,60,90,66,0,90
flat,flat_30s,4,A,30,90,27,0,90,16,30,120,16,60,150
flat,flat_30s,5,B,30,90,9,60,150,24,0,120,26,30,180
flat,flat_30s,6,C,30,90,18,30,180,8,60,180,36,0,180
flat,flat_30s,7,A,30,90,27,0,180,16,30,210,10,60,240
flat,flat_30s,8,B,30,90,9,60,240,24,0,210,20,30,270
flat,flat_30s,9,C,30,90,18,30,270,8,60,270,30,0,270
flat,flat_30s,10,A,30,90,27,0,270,16,30,300,10,60,330
flat,flat_30s,TOTAL,,,900,,,270,,,300,,,330
